id,name,type,location,startDate,endDate,website,hostingTeams
"104625","2016 Deep Blue Derby Tournament","Seeded Bracket","South Lake Tahoe, CA","2016-09-17","2016-09-18","","40352"
"68606","2016 Dust Devil","Invitational","Tucson, AZ","2016-04-16","2016-04-17","http://www.dustdeviltournament.com/","3398"
"68604","2016 Dustbowl Invitational","Invitational","Bakersfield, CA","2016-03-18","2016-03-20","","3644"
"68603","2016 ECDX","Invitational","Philadelphia, PA","2016-06-17","2016-06-19","http://ecdx.phillyrollergirls.com/","3394"
"85689","2016 ERRD Smackdown","Seeded Bracket","Gosford, NSW, Australia","2016-10-01","2016-10-02","","24503"
"85379","2016 European Roller Derby Tournament","Seeded Bracket","Mons, Belgium","2016-09-10","2016-09-11","http://euroderbytournament.com/","20695"
"81031","2016 Flat Track Fever","Invitational","Calgary, Alberta, Canada","2016-05-27","2016-05-29","http://flattrackfever.com/","10424"
"84738","2016 Franky Panky","Invitational","Tampa, FL","2016-08-13","2016-08-14","","3440"
"79924","2016 Hometown Throwdown","Invitational","Portland, OR","2016-05-20","2016-05-22","","3409"
"68605","2016 How the West Was Won?","Invitational","Phoenix, AZ","2016-03-19","2016-03-20","http://azrollerderby.com/htwww/#/info","3399"
"68904","2016 Japan Open Roller Derby Tournament","Invitational","Okinawa, Japan","2016-03-24","2016-03-26","https://www.facebook.com/JapanOpenRollerDerby","8126"
"83391","2016 JRDA Championship Tournament - Female Division","Championship","Lincoln, NB","2016-07-09","2016-07-13","",""
"83277","2016 JRDA Championship Tournament - Open Division","Championship","Lincoln, NB","2016-07-09","2016-07-13","",""
"82422","2016 JRDA E/NE/GL Regional","Invitational","","2016-06-11","2016-06-12","",""
"79273","2016 JRDA S/SE Regionals","Seeded Bracket","Jacksonville, FL","2016-05-28","2016-05-29","","39022"
"84683","2016 Jukes and Jams","Invitational","Cartersville, GA","2016-08-06","2016-08-07","http://www.atlantarollergirls.com/jukesandjams","3418"
"83026","2016 June Boom","Invitational","Sacramento, CA","2016-06-25","2016-06-26","","3434"
"74221","2016 Junior Derby Southern Showdown","Invitational","Houston, Texas","2016-01-16","2016-01-17","https://www.facebook.com/events/1658301447773656/","3421"
"71450","2016 Low Down Throw Down","Seeded Bracket","Augusta, GA","2016-05-20","2016-05-22","http://soulcitysirens.com/events/low-down-throw-down/","8102"
"73496","2016 March Badness","Invitational","Columbia, SC","2016-03-05","2016-03-06","","7696"
"81419","2016 Mayday Mayhem","Seeded Bracket","Greeley, CO","2016-06-10","2016-06-12","https://www.facebook.com/events/1773576742862635/","3469"
"68581","2016 Mayhem","Seeded Bracket","Greeley, CO","2016-06-10","2016-06-12","","3469"
"80504","2016 Melee in the Mountains","Invitational","Eagle, CO","2016-04-30","2016-04-30","","23441"
"85779","2016 Men's Roller Derby Association Championship","Championship","Dallas, TX","2016-10-15","2016-10-16","http://champs.mrda.org/","27943"
"68608","2016 Men's Roller Derby World Cup","Seeded Bracket","Calgary, AB, Canada","2016-07-21","2016-07-24","http://mrdwc.com/","10417,10424"
"66407","2016 Midwest BrewHaHa","Invitational","Milwaukee, WI","2016-06-03","2016-06-05","http://www.brewcitybruisers.com/midwest-brewhaha/live/","3419"
"75081","2016 Midwest Derbyfest","Seeded Bracket","Lebanon, MO","2016-06-24","2016-06-26","https://www.facebook.com/Midwest-DerbyFest-Tournament-154774318001746/?fref=ts&ref=br_tf",""
"105241","2016 Mitten Kitten Mash-Up: Mackinawww!","Seeded Bracket","Mackinaw City, MI, USA","2016-10-14","2016-10-16","https://www.facebook.com/events/1773032666314455/","51792,47468"
"75247","2016 Pac Destruction","Invitational","Los Angeles, CA","2016-06-10","2016-06-12","","3420"
"84892","2016 Paddling Up the Creek","Invitational","","2016-08-14","2016-08-14","",""
"88038","2016 Roller Derby SM-veckan","Invitational","Norrköping, Sweden","2016-07-09","2016-07-10","http://www.skridsko.se/Arbetsrumslista/RollerDerby/TavlingochNatverk/SMochSeriespel","26066"
