id,name,shortName,abbreviation,teamType,location,website,parentLeague,establishedDate,disbandedDate,genus,domain
"37352","Dickinson Roller Derby","Dickinson","DRD","Travel Team","Dickinson, ND","http://www.dickinsonrollerderby.com/","","2013-01-01","","Womens","USA"
"24127","Diego Rollers","","","B Team","","","15227","","2010-01-01","Womens","USA"
"13761","Dieppe Roller Derby","Hits n' Sass","DRD","Travel Team","Dieppe, NB, Canada","http://diepperollerderby.com/","","2011-01-01","2012-09-28","Womens","Canada"
"51742","Digi Dodgers Roller Derby","Digi Dodgers","DDRD","Travel Team","Hillcrest, QLD, Australia","","","","2014-07-20","Junior","Australia"
"21163","Diner Might Dolls","","","Home Team","","","19200","","2014-01-01","Womens","Australia"
"19864","Dirt City Roller Rats","Dirt City","DCRR","Travel Team","Victorville, CA","https://www.facebook.com/DCRRDerby?ref=ts","","2010-08-01","2019-01-11","Womens","USA"
"22395","Dirt Road Dolls","","","Home Team","","","13953","","2014-04-13","Womens","USA"
"10146","Dirty Diesel Darlins","","","Home Team","","","3430","","2011-12-31","Womens","USA"
"24186","Dirty Harriets","","","Home Team","","","3429","","2008-12-31","Womens","USA"
"19368","Dirty Harriets","","","Home Team","","","8849","2012-09-01","","Womens","Canada"
"79370","Dirty Jersey Roller Derby","Dirty Jersey","DJRD","Travel Team","Central New Jersey","http://dirtyjerseyrollerderby.com","","2016-01-01","","Womens","USA"
"29533","Dirty Mother Truckers","","","Home Team","","https://www.facebook.com/DirtyMotherTruckers/info","10398","2013-01-01","2014-03-22","Mens","USA"
"17047","Dirty Polli's","","","Home Team","","","4291","","2013-12-31","Womens","USA"
"18439","Dirty River Roller Derby","Dirty River","DRRD","Travel Team","Turku, Finland","http://turkurollerderby.com/","","","","Womens","Europe"
"35620","Dirty South All-Star Roller Derby","","","Exhibition Team","","https://www.facebook.com/DirtySouthAllStars/info","","2013-05-01","","Womens","Canada"
"9413","Dirty Verde Roller Derby","Dirty Verde","DVRD","Travel Team","Cottonwood, AZ","http://www.dirtyverderollerderby.com/","","","2014-04-20","Womens","USA"
"17938","Dirty Vixens","","","Home Team","","http://www.rollerderbytoulouse.com/equipes/equipe-b-filles/","11066","","2017-10-28","Womens","Europe"
"46696","Dis-Orderlies","","","B Team","","","7848","","2015-07-01","Womens","USA"
"24346","Disaster City Roller Girls","Disaster City","DCRG","Travel Team","San Bernardino, CA","","","","2010-12-31","Womens","USA"
"7601","Disciples","","","B Team","","http://sacredcityderbygirls.com/teams/disciples/","3434","","2018-01-01","Womens","USA"
"7767","Disco Beaters","","","Home Team","","","7763","","2014-04-27","Womens","Europe"
"7970","Disco Brawlers","","","Home Team","","http://dukecityderby.com/?page_id=6","3406","","2017-12-31","Womens","USA"
"24388","Diva Derby Dolls","","","Home Team","","","14800","","2010-12-31","Womens","USA"
"88299","División del Norte Roller Derby","División del Norte","DNRD","Travel Team","Chihuahua, Mexico","https://www.facebook.com/divisiondelnorterd/","","","","Womens","South America"
"3435","Dixie Derby Girls","Dixie","DDG","Travel Team","Huntsville, AL","http://www.dixiederbygirls.com/","","","","Womens","USA"
"24927","Dixie Wreckers","","","Home Team","","","13618","","2013-01-01","Womens","USA"
"46282","Doc Rockets","","","Home Team","","","8105","2014-01-01","2015-03-01","Womens","USA"
"29732","Dock City Rollers","Dock City","DCR","Travel Team","Gothenburg, Sweden","http://dockcityrollers.se/","","2012-01-01","","Womens","Europe"
"55713","Dockyard Brawlers","","","B Team","","","9813","2014-08-01","","Womens","Canada"
"3645","Dockyard Derby Dames","Dockyard","DyDD","Travel Team","Tacoma, WA","http://www.dockyardderbydames.com/","","","","Womens","USA"
"11185","Dogtown Rockets","","","Home Team","","","10395","","2013-01-01","Mens","USA"
"107262","Dollhouse Derby","","","Exhibition Team","","https://www.facebook.com/DollhouseDerby/","","2014-11-24","","Coed","USA"
"8053","Dolls of Anarchy","","","Home Team","","http://www.cherrycityderbygirls.com/team.php?id=doa","8052","","2017-12-31","Womens","USA"
"8063","Dolls of Hazzard","","","Home Team","","http://www.vrdl.org/public/dolls-au-go-go","6741","","2016-01-01","Womens","Australia"
"19170","Dom City Roller Derby","Dom City","DCD","Travel Team","Utrecht, Netherlands","https://www.domcityrollerderby.com/","","","","Womens","Europe"
"3430","Dominion Derby Girls","Dominion","DDG","Travel Team","Virginia Beach, VA","http://www.dominionderbygirls.net","","","","Womens","USA"
"34651","Doom Swans","","","Home Team","","","17613","","2014-07-06","Mens","Europe"
"17070","Dooms Daisies","","","Home Team","","http://rockymountainrollergirls.com/skaters-and-staff/dooms-daisies/","3405","","","Womens","USA"
"7969","Dooms Dames","","","Home Team","","http://dukecityderby.com/?page_id=116","3406","","","Womens","USA"
"9896","Doomsday Bunnies","","","B Team","","","9875","","","Womens","Canada"
"86987","Dorset Knobs Roller Derby","Dorset Knobs","DKRD","Travel Team","Dorset, UK","http://www.dorsetknobs.com/","","2014-10-01","","Mens","Europe"
"8939","Dorset Roller Girls","Dorset","DRG","Travel Team","Dorset, UK","http://www.facebook.com/pages/Dorset-Roller-Girls/173804386023479","","","","Womens","Europe"
"58619","Dothan Roller Derby","Dothan","DRD","Travel Team","Dothan, AL","http://www.dothanrollerderby.com/","","2014-10-08","","Womens","USA"
"7149","Double Crossers","","","Home Team","","http://www.windycityrollers.com/home-teams/double-crossers/","3410","","2018-01-01","Womens","USA"
"22469","Double Down","","","Home Team","","","18714","","2013-01-01","Womens","USA"
"14206","Dow Jones Average","","","B Team","","","10393","","","Mens","USA"
"60341","Down n Derby","Down n Derby","DND","Travel Team","Plainview, TX","","","2013-11-01","","Womens","USA"
"77551","Downriver Doll Stars B","","","B Team","","","28777","","","Womens","USA"
"28777","Downriver Roller Dolls","Downriver","DRD","Travel Team","Woodhaven, MI","downriverrollerdolls.com","","","","Womens","USA"
"39079","Downtown Maulers","","","Home Team","","","8140","2013-01-01","2014-10-06","Womens","USA"
"23410","Dragon City Roller Derby","Chikos","DCRD","Travel Team","Bendigo, VIC, Australia","https://www.facebook.com/dragoncityrollerderby/","","2010-03-22","","Womens","Australia"
"8912","Dragon Divas","","","Home Team","","","3422","","2010-01-01","Womens","USA"
"36276","Dread Pirate Rollers","Dread Pirate Rollers","DPR","Travel Team","Perth, WA, Australia","http://www.dreadpiraterollers.com.au/","","2011-08-04","","Womens","Australia"
"10416","Dreadnaughts Roller Derby","Dreadnaughts","DRD","Travel Team","Red Deer, AB","http://www.dreadnaughtsrollerderby.ca/","","","2015-12-31","Mens","Canada"
"9590","Dreadnought Dorothys","","","Home Team","","http://kcrollerwarriors.com/dorothys11.html","3407","","2017-10-29","Womens","USA"
"110794","Dream Team","","","B Team","","","3628","","","Womens","Europe"
"6383","Dropkick Donnas","","","B Team","","http://www.olyrollers.com/teams/DropkickDonnas.html","3446","","2014-04-14","Womens","USA"
"15942","DRRD'y Farmers","","","B Team","","http://www.drrd.ca/teams/drrdy-farmers/","12105","","","Womens","Canada"
"69398","Druid City Dames","Druid City","DCD","Travel Team","Tuscaloosa, AL","http://druidcitydames.com/","","2015-06-09","","Womens","USA"
"24301","Dry Heat","Dry Heat","DH","Travel Team","Tucson, AZ","","","","2011-01-01","Womens","USA"
"9085","Dub City Roller Derby","Dub City","DCRD","Travel Team","Palm Beach, FL","http://dubcityrollerderby.com/","","2011-01-01","","Womens","USA"
"7775","Dublin Roller Derby","Dublin","DRD","Travel Team","Dublin, Ireland","http://www.dublinrollerderby.com/","","","","Womens","Europe"
"17950","Dublin Roller Derby B","","","B Team","","","7775","","","Womens","Europe"
"60243","Dublin Roller Derby C","","","B Team","","","7775","2015-02-01","","Womens","Europe"
